change	date	client	desc
514176	2026/04/22	Design_Seokwan_AL01	[손석완][Trunk=>AL01] @514171 / [손석완][레벨] 올드타운 흉포한동물 뼈다구 어뷰징 문제로 동굴 속으로 넣어버림. / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/AL01 (//streamsMain/Main/Trunk) @514171
514131	2026/04/22	Design_Seokwan_AL01	[손석완][Trunk=>AL01] @514122 / [손석완][레벨] 올드타운 세력은신처 미니맵 볼륨 수정 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/AL01 (//streamsMain/Main/Trunk) @514122
513245	2026/04/21	Design_Seokwan_AL01	[손석완][Trunk=>AL01] @513182 / [손석완][레벨] 시타델 지하수로에서 "시타델"이라고 지역명 뜨는 문제 수정 - 2100041 subarea의 z값을 높임. / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/AL01 (//streamsMain/Main/Trunk) @513182
505719	2026/04/10	Design_Seokwan_AL01	[손석완][Trunk=>AL01] @505696 / [손석완][레벨] 드레드포트 지역에 바위 밑둥 보이는 문제 수정 / #changelist 유효성 검사 완료 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/AL01 (//streamsMain/Main/Trunk) @505696
497763	2026/03/31	Design_Seokwan_AL01	[손석완][Trunk=>AL01] @496083 / [손석완][레벨] 시타델 내부 데이터레이어 및 가젯 수정 - 브워킵 다녀온 후에 나와야 할 프랍들이 그 이전부터 나오는 현상 수정 -> 시타델 정상화된 상태를 다음의 퀘스트태스크가 완료된 시점으로 변
569455	2026/08/19	Design_Seokwan_CBT	[손석완][Trunk=>Asia_S2] @569071 / [손석완][레벨] 크라켄 던전 3 -> 4페이즈 이동 경로에 빠지는 구역 수정 / https://jira.nmn.io/browse/GOAT-9100 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/Asia_S2 (//streamsMain/Main/Trunk) @569071
563326	2026/08/06	Design_Seokwan_CBT	[손석완][Trunk=>Asia_S2] @563325 / [손석완][레벨] 크라켄 난파선 난간에 블로킹 볼륨 추가_2 / https://jira.nmn.io/browse/GOAT-8197 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/Asia_S2 (//streamsMain/Main/Trunk) @563325
563299	2026/08/06	Design_Seokwan_CBT	[손석완][Trunk=>Asia_S2] @563296 / [손석완][레벨] 크라켄 난파선 난간에 블로킹 볼륨 추가 / https://jira.nmn.io/browse/GOAT-8197 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/Asia_S2 (//streamsMain/Main/Trunk) @563296
563155	2026/08/06	Design_Seokwan_CBT	[손석완][Trunk=>Asia_S2] @563146 / [손석완][레벨] 스톰랜드 목업 액터 에디터 전용 처리 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/Asia_S2 (//streamsMain/Main/Trunk) @563146
563057	2026/08/06	Design_Seokwan_CBT	[손석완][Trunk=>Asia_S2] @563056 / [손석완][레벨] 크로우즈 네스트 목업용 액터들 쿠킹 제외 처리 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/Asia_S2 (//streamsMain/Main/Trunk) @563056
559220	2026/07/31	Design_Seokwan_CBT	[손석완][Trunk=>Asia_S2] @559076 / [손석완][레벨][점령된구역] 점령된 구역: 레드픽 > 캐릭터가 올라탈 수 있는 프랍 및 NPC 접근 불가 지형 좌표 모음 / https://jira.nmn.io/browse/GOAT-7949 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Releas
559219	2026/07/31	Design_Seokwan_CBT	[손석완][Trunk=>Asia_S2] @559047 / [손석완][레벨][Live] 북부 버려진 유적지 이중 사다리 끼임 현상 확인 요청 / https://jira.nmn.io/browse/QAGOTASIA-1060 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/Asia_S2 (//streamsMain/Main/Trunk) @559047
533698	2026/05/29	Design_Seokwan_CBT	[손석완][Trunk=>Asia_UP01] @533691 / [손석완][레벨]  / [버려진 유적지] 사나운 바다 레벨 버그 - 추가 수정 / https://jira.nmn.io/browse/PROJECTT-40604 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/Asia_UP01 (//streamsMain/Main/Trunk) @533691
533696	2026/05/29	Design_Seokwan_CBT	[손석완][Trunk=>Asia_UP01] @533695 / [손석완][레벨]  / [소형컨텐츠] 편지통으로 쉽게 도달하지 못하는 지점 - 추가 수정 / https://jira.nmn.io/browse/PROJECTT-40642 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/Asia_UP01 (//streamsMain/Main/Tr
533668	2026/05/29	Design_Seokwan_CBT	[손석완][Trunk=>Asia_UP01] @533534 / [손석완][레벨] / [버려진 유적지] 쓰러진 거인의 왕 점프로 넘어가선 안 되는 지점 넘어가짐 / https://jira.nmn.io/browse/PROJECTT-40596 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/Asia_UP01 (//streams
533667	2026/05/29	Design_Seokwan_CBT	[손석완][Trunk=>Asia_UP01] @533535 / [손석완][레벨] / [점령된 구역] 그리핀스코브에 유도동선을 가로 막는 프랍 / https://jira.nmn.io/browse/PROJECTT-40609 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/Asia_UP01 (//streamsMain/Main/Trunk) @5335
533665	2026/05/29	Design_Seokwan_CBT	[손석완][Trunk=>Asia_UP01] @533536 / [손석완][레벨] / [버려진 유적지] 사나운 바다 레벨 버그 / https://jira.nmn.io/browse/PROJECTT-40604 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/Asia_UP01 (//streamsMain/Main/Trunk) @533536
533664	2026/05/29	Design_Seokwan_CBT	[손석완][Trunk=>Asia_UP01] @533537 / [손석완][레벨] / [레벨디자인] 크로우즈네스트 버려진 유적지 부근에 떨어지면 되올라올 수 없는 구간 존재 / https://jira.nmn.io/browse/PROJECTT-40601 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release
533663	2026/05/29	Design_Seokwan_CBT	[손석완][Trunk=>Asia_UP01] @533539 / [손석완][레벨] / [버려진 유적지] 숲의 마녀 갇히는 공간 수정 / https://jira.nmn.io/browse/PROJECTT-40600 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/Asia_UP01 (//streamsMain/Main/Trunk) @533539
533662	2026/05/29	Design_Seokwan_CBT	[손석완][Trunk=>Asia_UP01] @533614 / [손석완][레벨] / [소형컨텐츠] 편지통으로 쉽게 도달하지 못하는 지점 / https://jira.nmn.io/browse/PROJECTT-40642 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/Asia_UP01 (//streamsMain/Main/Trunk) @533614
531658	2026/05/22	Design_Seokwan_CBT	[손석완][Trunk=>Asia_UP01] @531650 / [손석완][레벨] 허브빌리지 고업 액터 위치 미세 조정 / [배경] 최북단 2.0 점령된 구역 허브빌리지에 고업을 못하는 지점 / https://jira.nmn.io/browse/PROJECTT-40444 / #changelist 유효성 검사 완료 / Merging  to //str
531438	2026/05/22	Design_Seokwan_CBT	[손석완][Trunk=>Asia_UP01] @531437 / [손석완][레벨] / [레벨디자인] 하이가든 로즈워터 지역에 공중부양하는 프랍 / https://jira.nmn.io/browse/PROJECTT-40425 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/Asia_UP01 (//streamsMain/Main/Trunk) @53
531340	2026/05/22	Design_Seokwan_CBT	[손석완][Trunk=>Asia_UP01] @531308 / [레벨디자인] 최북단 2.0 버려진 유적지 끼임 현상 발생 / https://jira.nmn.io/browse/PROJECTT-40384 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/Asia_UP01 (//streamsMain/Main/Trunk) @531308
308723	2025/01/03	Design_Seokwan_CBT	[손석완][레벨] 최북단 말도적단 앞 지하실 입구 수정  /  - 풀 제거  /  - 고업 BP 위치 수정  / #changelist 유효성 검사 완료
307607	2025/01/03	Design_Seokwan_CBT	[손석완][레벨] 선다운퍼치 마을 게시판 제거 / 현상수배 게시판 프랍 삭제 / 게시판 자리에 볼팅 펜스 연장 / https://jira.nmn.io/browse/NNT-10529 / #changelist 유효성 검사 완료
505741	2026/04/10	Design_Seokwan_Marketing	[손석완][Trunk=>Marketing] @505696 / [손석완][레벨] 드레드포트 지역에 바위 밑둥 보이는 문제 수정 / #changelist 유효성 검사 완료 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/Marketing (//streamsMain/Main/Trunk) @505696
497756	2026/03/31	Design_Seokwan_Marketing	[손석완][Trunk=>Marketing] @496083 / [손석완][레벨] 시타델 내부 데이터레이어 및 가젯 수정 - 브워킵 다녀온 후에 나와야 할 프랍들이 그 이전부터 나오는 현상 수정 -> 시타델 정상화된 상태를 다음의 퀘스트태스크가 완료된 시점으�
488639	2026/03/13	Design_Seokwan_Marketing	[손석완][Trunk=>Marketing] @488182 / [손석완][레벨] 내비모디파이어 볼륨 수정 - 최북단 투명벽 현상 수정 / #changelist 유효성 검사 완료 / Merging  to //streamsMain/Release/Marketing (//streamsMain/Main/Trunk) @488182
236003	2024/06/12	Design_Seokwan_QA	[손석완][레벨] 장벽너머 미션07 밧줄 타다가 멈추는 현상 수정  / #changelist 유효성 검사 완료
235858	2024/06/12	Design_Seokwan_QA	[손석완][레벨] 올타 셉트 지하실 내려가는 길목 내비 생기게 수정  / #changelist 유효성 검사 완료
234945	2024/06/10	Design_Seokwan_QA	[손석완][레벨] 올타 버유 3단지 점프대 콜리전 수정  / #changelist 유효성 검사 완료
234944	2024/06/10	Design_Seokwan_QA	[손석완][레벨] 올드타운 녹색항구 버려진 유적지 버그 수정  / #changelist 유효성 검사 완료
234943	2024/06/10	Design_Seokwan_QA	[손석완][레벨] 올드타운 담벼락 이상하게 넘어지는 문제 수정  / #changelist 유효성 검사 완료
234942	2024/06/10	Design_Seokwan_QA	[손석완][레벨] 퀼앤탱커드 문 추가  / #changelist 유효성 검사 완료
234940	2024/06/10	Design_Seokwan_QA	[손석완][레벨] 하이가든 보석상인의 집 들어갔다가 못나오는 현상 임시 수정  / #changelist 유효성 검사 완료
233896	2024/06/07	Design_Seokwan_QA	[손석완][레벨] 북부 버유 1단지 넘어가지 못해야 하는 부분 차단  / #changelist 유효성 검사 완료
233895	2024/06/07	Design_Seokwan_QA	[손석완][레벨] 롱레이크 대교에서 자연스럽게 떨어지지 못하는 문제 해결 / #changelist 유효성 검사 완료
233894	2024/06/07	Design_Seokwan_QA	[손석완][레벨] 북부 버유 2단지 가면 안 되는 곳 도달 못하게 수정  / #changelist 유효성 검사 완료
231276	2024/06/03	Design_Seokwan_QA	[손석완][레벨] 최북단 도적 캠프 블로킹 볼륨에 의해 인터랙션 스피어 침범되는 문제 수정  / #changelist 유효성 검사 완료
220442	2024/05/02	Design_Seokwan_QA	[손석완][Trunk=>QA]  / @220423 [손석완][레벨] 프로스트 필드 이단 사다리 위치 조정  / #changelist 유효성 검사 완료
220441	2024/05/02	Design_Seokwan_QA	[손석완][Trunk=>QA]  / @220422 [손석완][레벨] 최북단 천 프랍에서 콜리전 제거  / #changelist 유효성 검사 완료
220440	2024/05/02	Design_Seokwan_QA	[손석완][Trunk=>QA]  / @220420 [손석완][레벨] 올드타운 지하하수도 물 높이 낮춤.  / #changelist 유효성 검사 완료
220439	2024/05/02	Design_Seokwan_QA	[손석완][Trunk=>QA]  / @220419 [손석완][레벨] 웜워크 입구 관련 버그 수정 - 입구에 경사로 조성, 원탑 프랍 제거  / #changelist 유효성 검사 완료
210314	2024/03/27	Design_Seokwan_QA	[손석완][Trunk=>QA]  / @210311 [손석완][레벨] 최북단 흉포한동물 지역 레벨 정리  / #changelist 유효성 검사 완료
210303	2024/03/27	Design_Seokwan_QA	[손석완][Trunk=>QA] / @210178 [손석완][레벨] 퀸즈크라운 앞마당 절벽 높이 올림 / #changelist 유효성 검사 완료
207441	2024/03/21	Design_Seokwan_QA	[손석완][Trunk=>QA] / @207221 [손석완][레벨] 최북단 2.0 버유 가젯 수정 / #changelist 유효성 검사 완료
207440	2024/03/21	Design_Seokwan_QA	[손석완][Trunk=>QA] / @207193 [손석완][레벨] 레벨기믹 액터들 ID Generate / #changelist 유효성 검사 완료
207439	2024/03/21	Design_Seokwan_QA	[손석완][Trunk=>QA] / @207153 [손석완][레벨] 불필요 가이드액터 삭제 / #changelist 유효성 검사 완료
207438	2024/03/21	Design_Seokwan_QA	[손석완][Trunk=>QA] / @207105 [손석완][레벨] 최북단 지형 수정 및 불필요 레벨가이드 삭제 / #changelist 유효성 검사 완료
207437	2024/03/21	Design_Seokwan_QA	[손석완][Trunk=>QA] / @207104 [손석완][레벨] 최북단 웨이포인트 추가, 로드 BP 옵션 수정 / #changelist 유효성 검사 완료
207436	2024/03/21	Design_Seokwan_QA	[손석완][Trunk=>QA] / @206625 [손석완][레벨] 최북단2.0 허브빌리지 웨이포인트 링크 추가 / #changelist 유효성 검사 완료
207435	2024/03/21	Design_Seokwan_QA	[손석완][Trunk=>QA] / @206562 [손석완][레벨] 최북단 지형 정리 - 퀸스크라운 to 레난스레스트 / #changelist 유효성 검사 완료
207434	2024/03/21	Design_Seokwan_QA	[손석완][Trunk=>QA] / @206510 [손석완][레벨] 게이트 내려올 떄 콜리전 켜지게 노티 추가 / #changelist 유효성 검사 완료
207433	2024/03/21	Design_Seokwan_QA	[손석완][Trunk=>QA] / @206350 [손석완][레벨] 퀸스크라운 빙판 위치 이동 / #changelist 유효성 검사 완료
207432	2024/03/21	Design_Seokwan_QA	[손석완][Trunk=>QA] / @206325 [손석완][레벨] 퀸즈크라운 - 레/레 지형 정리 / #changelist 유효성 검사 완료
207430	2024/03/21	Design_Seokwan_QA	[손석완][Trunk=>QA] / @206057 [손석완][레벨] 레난스레스트 이정표 앞 볼팅 펜스 수정 / #changelist 유효성 검사 완료
207429	2024/03/21	Design_Seokwan_QA	[손석완][Trunk=>QA] / @205891 [손석완][레벨] 최북단 콘텐츠 보강 후보지 설정 / #changelist 유효성 검사 완료
199264	2024/02/15	Design_Seokwan_QA	[손석완][Trunk=>QA] / @199261 [손석완][레벨] 최북단 2.0 버유 가이드 프랍 제거, 마네킹 숨김, 드포 가이드 액터 숨김 / #changelist 유효성 검사 완료
199234	2024/02/15	Design_Seokwan_QA	[손석완][Trunk=>QA] / @199226 [손석완][레벨] 최북단 - 사냥꾼의 오두막에 못지나가는 지점 수정 / #changelist 유효성 검사 완료
188050	2024/01/04	Design_Seokwan_QA	[손석완][Trunk=>QA]  / @188048 [손석완][레벨] 최북단 2.0 진입 가능하게 데이터레이어 수정  / #changelist 유효성 검사 완료
576134	2026/09/03	Design_Seokwan_work	[손석완][레벨] 렛지그랩 최적화 - 시타델 월드  / #changelist 유효성 검사 완료
575967	2026/09/02	Design_Seokwan_work	[손석완][레벨] 렛지그랩 최적화 - 올드타운 도시 남쪽  / #changelist 유효성 검사 완료
575966	2026/09/02	Design_Seokwan_work	[손석완][레벨] 렛지그랩 최적화 - 올드타운 도시 북쪽  / #changelist 유효성 검사 완료
575677	2026/09/02	Design_Seokwan_work	[손석완][레벨] 시타델 근처 노컬리전 프랍 컬리전 처리 / #changelist 유효성 검사 완료
575292	2026/09/01	Design_Seokwan_work	[손석완][레벨] 크로우즈네스트 데이터레이어 볼륨 수정 - 뚫리는 부분 수정  / #changelist 유효성 검사 완료
573455	2026/08/27	Design_Seokwan_work	[손석완][레벨] 크로우즈 네스트 세력은신처 보물방 윗층에 잘못된 미니맵 리소스가 연결된 문제 해결. ID : 1000
573412	2026/08/27	Design_Seokwan_work	[손석완][레벨] 미니맵 가이드 액터들에 Temp_MinimapHide 데이터레이어 추가  / #changelist 유효성 검사 완료
573288	2026/08/27	Design_Seokwan_work	[손석완][레벨] Ship Movement 값 조절 - 3. 완전 정지 처리 (PROJECTT-44415) / #changelist 유효성 검사 완료
573287	2026/08/27	Design_Seokwan_work	[손석완][레벨] Ship Movement 값 조절 - 2. NoCollision 처리 (PROJECTT-44415) / #changelist 유효성 검사 완료
573286	2026/08/27	Design_Seokwan_work	[손석완][레벨] Ship Movement 값 조절 - 1. 값 조정 (PROJECTT-44415) / #changelist 유효성 검사 완료
571364	2026/08/25	Design_Seokwan_work	[손석완][레벨] 맘모스 목업 작업중  / #changelist 유효성 검사 완료
569071	2026/08/18	Design_Seokwan_work	[손석완][레벨] 크라켄 던전 3 -> 4페이즈 이동 경로에 빠지는 구역 수정 / https://jira.nmn.io/browse/GOAT-9100 / #changelist 유효성 검사 완료
569064	2026/08/18	Design_Seokwan_work	[손석완][레벨] 브로드 아치 지하실에 머티리얼 곂침 문제 수정  / ExecTCmd MOV 12941.273692 91660.317656 1500.355728  / #changelist 유효성 검사 완료
566911	2026/08/12	Design_Seokwan_work	[손석완][레벨] 맘모스 던전 목업 작업  / #changelist 유효성 검사 완료
563325	2026/08/06	Design_Seokwan_work	[손석완][레벨] 크라켄 난파선 난간에 블로킹 볼륨 추가_2  / https://jira.nmn.io/browse/GOAT-8197  / #changelist 유효성 검사 완료
563296	2026/08/06	Design_Seokwan_work	[손석완][레벨] 크라켄 난파선 난간에 블로킹 볼륨 추가  / https://jira.nmn.io/browse/GOAT-8197  / #changelist 유효성 검사 완료
563146	2026/08/06	Design_Seokwan_work	[손석완][레벨] 스톰랜드 목업 액터 에디터 전용 처리  / #changelist 유효성 검사 완료
563056	2026/08/06	Design_Seokwan_work	[손석완][레벨] 크로우즈 네스트 목업용 액터들 쿠킹 제외 처리  / #changelist 유효성 검사 완료
562663	2026/08/05	Design_Seokwan_work	[손석완][레벨] 하렌홀의 비명 깃발 3개로 추가, 보스 몹 스폰 위치 추가  / #changelist 유효성 검사 완료
560565	2026/08/04	Design_Seokwan_work	[손석완][레벨] 하렌홀의 비명 수정  / #changelist 유효성 검사 완료
559471	2026/08/03	Design_Seokwan_work	[손석완][레벨] 하렌홀의 비명 크기 조정 / #changelist 유효성 검사 완료
559076	2026/07/31	Design_Seokwan_work	[손석완][레벨][점령된구역] 점령된 구역: 레드픽 > 캐릭터가 올라탈 수 있는 프랍 및 NPC 접근 불가 지형 좌표 모음  / https://jira.nmn.io/browse/GOAT-7949  / #changelist 유효성 검사 완료
559047	2026/07/31	Design_Seokwan_work	[손석완][레벨][Live] 북부 버려진 유적지 이중 사다리 끼임 현상 확인 요청  / https://jira.nmn.io/browse/QAGOTASIA-1060  / #changelist 유효성 검사 완료
557317	2026/07/28	Design_Seokwan_work	[손석완][레벨] 맘모스맵 - 월드 세팅 수정 및 랜드스케이프 머티리얼 적용  / #changelist 유효성 검사 완료
557234	2026/07/28	Design_Seokwan_work	[손석완][레벨] 맘모스 맵 - 런타임 그리드 수정  / #changelist 유효성 검사 완료
557223	2026/07/28	Design_Seokwan_work	[손석완][레벨] 맘모스 레이드 맵 신규 추가  / #changelist 유효성 검사 완료
557123	2026/07/28	Design_Seokwan_work	[손석완][레벨] 크로우즈 네스트 필드에 절벽 프랍 뜬 것 수정  / ExecTCmd MOV 3065.383370 130839.341234 5249.659296  / #changelist 유효성 검사 완료
556907	2026/07/27	Design_Seokwan_work	[손석완][레벨] 점령된 구역: 레드픽 > 캐릭터가 올라탈 수 있는 프랍 및 NPC 접근 불가 수정  / https://jira.nmn.io/browse/GOAT-7949  / #changelist 유효성 검사 완료
555756	2026/07/24	Design_Seokwan_work	[손석완][레벨] 챕터 5.2. 위기의 성소 목업  / #changelist 유효성 검사 완료
555679	2026/07/24	Design_Seokwan_work	[손석완][레벨] 챕터 5.2. 숯장이 마을 수정  / #changelist 유효성 검사 완료
555630	2026/07/24	Design_Seokwan_work	[손석완][레벨] 챕터 5.2. 트윈스 지역 목업  / #changelist 유효성 검사 완료
555596	2026/07/24	Design_Seokwan_work	[손석완][레벨] 챕터 5.2. 트윈스 지역 목업  / #changelist 유효성 검사 완료
551234	2026/07/10	Design_Seokwan_work	[손석완][레벨] 챕터 5.2. 목업 작업물 중간 업로드  / #changelist 유효성 검사 완료
544997	2026/06/25	Design_Seokwan_work	[손석완][레벨] 5.2. 목업 중간 업로드 - 모든 액터들 에디터 전용 모드로 전환  / #changelist 유효성 검사 완료
544265	2026/06/24	Design_Seokwan_work	[손석완][레벨] 크로우즈네스트 세력은신처 미니맵 볼륨 수정 / [레벨디자인] 챕터 5.2 트윈스 레벨 디자인 / https://jira.nmn.io/browse/PROJECTT-38149 / #changelist 유효성 검사 완료
543467	2026/06/22	Design_Seokwan_work	[손석완][레벨] 하렌할의 비명 유실된 프랍 원복 / #changelist 유효성 검사 완료
542077	2026/06/16	Design_Seokwan_work	[손석완][레벨] 5.2. 지역 목업 작업 중 변경된 화이트하버의 WoodenBridge03 액터들 원복  / #changelist 유효성 검사 완료
540515	2026/06/11	Design_Seokwan_work	[손석완][레벨] 챕터 5.2. 목업 작업중  / #changelist 유효성 검사 완료
540341	2026/06/11	Design_Seokwan_work	[손석완][레벨] 챕터 5.2. 목업 작업  / #changelist 유효성 검사 완료
533695	2026/05/29	Design_Seokwan_work	[손석완][레벨]  / [소형컨텐츠] 편지통으로 쉽게 도달하지 못하는 지점 - 추가 수정 / https://jira.nmn.io/browse/PROJECTT-40642 / #changelist 유효성 검사 완료
533691	2026/05/29	Design_Seokwan_work	[손석완][레벨]   / [버려진 유적지] 사나운 바다 레벨 버그 - 추가 수정  / https://jira.nmn.io/browse/PROJECTT-40604  / #changelist 유효성 검사 완료
533614	2026/05/29	Design_Seokwan_work	[손석완][레벨]  / [소형컨텐츠] 편지통으로 쉽게 도달하지 못하는 지점  / https://jira.nmn.io/browse/PROJECTT-40642  / #changelist 유효성 검사 완료
533539	2026/05/28	Design_Seokwan_work	[손석완][레벨]  / [버려진 유적지] 숲의 마녀 갇히는 공간 수정  / https://jira.nmn.io/browse/PROJECTT-40600  / #changelist 유효성 검사 완료
533537	2026/05/28	Design_Seokwan_work	[손석완][레벨]  / [레벨디자인] 크로우즈네스트 버려진 유적지 부근에 떨어지면 되올라올 수 없는 구간 존재  / https://jira.nmn.io/browse/PROJECTT-40601  / #changelist 유효성 검사 완료
533536	2026/05/28	Design_Seokwan_work	[손석완][레벨]  / [버려진 유적지] 사나운 바다 레벨 버그  / https://jira.nmn.io/browse/PROJECTT-40604  / #changelist 유효성 검사 완료
533535	2026/05/28	Design_Seokwan_work	[손석완][레벨]  / [점령된 구역] 그리핀스코브에 유도동선을 가로 막는 프랍  / https://jira.nmn.io/browse/PROJECTT-40609  / #changelist 유효성 검사 완료
533534	2026/05/28	Design_Seokwan_work	[손석완][레벨]  / [버려진 유적지] 쓰러진 거인의 왕 점프로 넘어가선 안 되는 지점 넘어가짐  / https://jira.nmn.io/browse/PROJECTT-40596  / #changelist 유효성 검사 완료
531650	2026/05/22	Design_Seokwan_work	[손석완][레벨] 허브빌리지 고업 액터 위치 미세 조정  / [배경] 최북단 2.0 점령된 구역 허브빌리지에 고업을 못하는 지점  / https://jira.nmn.io/browse/PROJECTT-40444  / #changelist 유효성 검사 완료
531437	2026/05/22	Design_Seokwan_work	[손석완][레벨]  / [레벨디자인] 하이가든 로즈워터 지역에 공중부양하는 프랍  / https://jira.nmn.io/browse/PROJECTT-40425  / #changelist 유효성 검사 완료
531308	2026/05/22	Design_Seokwan_work	[레벨디자인] 최북단 2.0 버려진 유적지 끼임 현상 발생  / https://jira.nmn.io/browse/PROJECTT-40384  / #changelist 유효성 검사 완료
530758	2026/05/21	Design_Seokwan_work	[손석완][레벨] 넥 지역 버유 1~3단지 피드백 반영  / #changelist 유효성 검사 완료
529829	2026/05/18	Design_Seokwan_work	[손석완][레벨] 넥 지역 버려진 유적지 1~3단지 폴리싱  / #changelist 유효성 검사 완료
529819	2026/05/18	Design_Seokwan_work	[손석완][레벨] 넥 버려진 유적지 1~3단지 수정  / #changelist 유효성 검사 완료
529818	2026/05/18	Design_Seokwan_work	[손석완][레벨] 대형 부서지는 바닥 가젯 BP 생성 - 임시용  / #changelist 유효성 검사 완료
529615	2026/05/18	Design_Seokwan_work	[월드][레벨] 크로우즈네스트 점령된 구역 그리핀스 코브 동선 수정  / https://jira.nmn.io/browse/PROJECTT-40145  / #changelist 유효성 검사 완료
529254	2026/05/18	Design_Seokwan_work	[월드][레벨] 최북단 > 라스트 허스 인근 소형 컨텐츠 서신 획득 루트 개선  / https://jira.nmn.io/browse/PROJECTT-40053  / #changelist 유효성 검사 완료
529237	2026/05/18	Design_Seokwan_work	[손석완][레벨] 올드타운에 올라가면 안 되는 지형에 올라가지는 문제  / https://jira.nmn.io/browse/PROJECTT-40144  / #changelist 유효성 검사 완료
529215	2026/05/18	Design_Seokwan_work	[손석완][레벨] 올드타운 세력은신처 보스존 이중사다리 삭제 후 일반 사다리로 대체 / https://jira.nmn.io/browse/QAGOTASIA-636 / #changelist 유효성 검사 완료
