key	created	updated	type	status	role	assignee	reporter	labels	components	parent	summary
PROJECTT-8469	2022-11-22	2025-06-18	Sub-Task	DONE	현담당	seokwan	seokwan	NPC_그리핀,기억의제단	Design	PROJECTT-8468	[레벨] 그리핀 던전 기능 기획
PROJECTT-8585	2022-12-01	2025-06-18	Sub-Task	DONE	현담당	seokwan	juna	북부_1.2_윈터펠,위기의성소,점령된구역,컨텐츠제작	Design	PROJECTT-8584	[월드][컨텐츠] 윈터펠 지역 추가 컨텐츠 배치 설계
PROJECTT-8586	2022-12-01	2025-06-18	Sub-Task	DONE	현담당	seokwan	juna	북부_1.2_윈터펠,컨텐츠제작,콘텐츠신규/추가	Design	PROJECTT-8584	[월드][컨텐츠] 버려진 유적지 대체 컨셉 반영된 공간 구성 완료
PROJECTT-8685	2022-12-08	2025-06-18	Story	DONE	현담당	seokwan	seokwan	NPC_그리핀,기억의제단,레벨디자인	Design		[던전] 기억의 제단 그리핀 던전 제작 #2
PROJECTT-8711	2022-12-08	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,버려진유적지,북부_1.2_윈터펠	Design	PROJECTT-9074	[1.2.][윈터펠][레벨] 버려진 유적지 제작
PROJECTT-8670	2022-12-08	2025-06-18	Sub-Task	DONE	보고자	jinjunhyuk	seokwan	NPC_그리핀,기억의제단	Client	PROJECTT-8685	[클라] 그리핀던전 - PC 카메라 프리셋 추가 방식 개선
PROJECTT-8671	2022-12-08	2025-06-18	Sub-Task	DONE	보고자	jongjin	seokwan	NPC_그리핀,기억의제단	Client	PROJECTT-8468	[클라] 그리핀던전 - 기본형 스위치 가젯 BP 개발
PROJECTT-8672	2022-12-08	2025-06-18	Sub-Task	DONE	보고자	dujin.jeong	seokwan	NPC_그리핀,기억의제단	Server	PROJECTT-8468	[서버] 그리핀던전 - 기본형 스위치 가젯 BP 개발
PROJECTT-8673	2022-12-08	2025-06-18	Sub-Task	DONE	보고자	jinjunhyuk	seokwan	NPC_그리핀,기억의제단	Client	PROJECTT-8685	[클라] 물리에 의한 프랍 파괴
PROJECTT-8674	2022-12-08	2025-06-18	Sub-Task	DONE	보고자	dujin.jeong	seokwan	NPC_그리핀,기억의제단	Server	PROJECTT-8685	[서버] 물리에 의한 프랍 파괴
PROJECTT-8675	2022-12-08	2025-06-18	Sub-Task	DONE	보고자	yongsoon	seokwan	NPC_그리핀,기억의제단	Client	PROJECTT-8685	[클라] 그리핀던전 - 자연스러운 FX 재생 기능
PROJECTT-8677	2022-12-08	2025-06-18	Sub-Task	DONE	보고자	dujin.jeong	seokwan	NPC_그리핀,기억의제단	Server	PROJECTT-8468	[서버] 그리핀던전 - 각종 Action 스크립트 개발
PROJECTT-8678	2022-12-08	2025-06-18	Sub-Task	DONE	보고자	eunsol	seokwan	NPC_그리핀,기억의제단	BG	PROJECTT-8685	[배경] 그리핀던전 레벨 제작
PROJECTT-8679	2022-12-08	2025-06-18	Sub-Task	DONE	보고자	nayoung	seokwan	NPC_그리핀,기억의제단,프랍	BG,프랍	PROJECTT-8685	[배경] 그리핀던전 - 기믹용 프랍 제작
PROJECTT-8680	2022-12-08	2025-06-18	Sub-Task	DONE	보고자	junghwan	seokwan	NPC_그리핀,기억의제단	Effect	PROJECTT-8685	[이펙트] 그리핀던전 - 기믹 및 연출용 이펙트 제작
PROJECTT-8681	2022-12-08	2025-06-18	Sub-Task	DONE	보고자	sanghyeok.lee	seokwan	NPC_그리핀,기억의제단	Animation	PROJECTT-8685	[애니] 그리핀던전 - 기믹용 프랍 애니 및 PC 애니 제작
PROJECTT-8727	2022-12-09	2025-06-18	Sub-Task	DONE	보고자	dowan	seokwan	NPC_그리핀,기억의제단	Client	PROJECTT-8685	[클라] 그리핀던전 - 잔도 파괴 연출
PROJECTT-9004	2023-01-02	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.1_올드타운	Design	PROJECTT-9132	[2.2.][올드타운][레벨] B구역 필드 목업 #S1
PROJECTT-9072	2023-01-04	2025-06-18	Story	DONE	현담당	seokwan	sungmin.jung	레벨디자인,북부_1.1_라스트허스,최북단_1.1.인트로튜토리얼	Design		[1.1.][최북단][레벨] 평면도/레벨 기획서 제작
PROJECTT-9082	2023-01-04	2025-06-18	Story	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.1_올드타운	Design		[2.2.][올드타운][레벨] 평면도/레벨 기획서 제작
PROJECTT-9132	2023-01-05	2025-06-18	Story	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.1_올드타운	Design		[2.2.][올드타운][레벨] 레벨 목업 제작
PROJECTT-9154	2023-01-09	2025-06-18	Story	DONE	현담당	seokwan	sungmin.jung	레벨디자인,북부_1.1_라스트허스,최북단_1.1.인트로튜토리얼	Design		[1.1.][최북단][레벨] 레벨 목업 제작
PROJECTT-9176	2023-01-10	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,북부_1.1_라스트허스,최북단_1.1.인트로튜토리얼	Design	PROJECTT-9154	[1.1.][최북단][레벨] 메인 퀘스트 #1 영역 목업 제작
PROJECTT-9177	2023-01-10	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,북부_1.1_라스트허스,최북단_1.1.인트로튜토리얼	Design	PROJECTT-9154	[1.1.][최북단][레벨] 서브 퀘스트 #1 영역 목업 제작
PROJECTT-9178	2023-01-10	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,버려진유적지,북부_1.1_라스트허스,최북단_1.1.인트로튜토리얼	Design	PROJECTT-9154	[1.1.][최북단][레벨] 필드 컨텐츠 "버려진 유적지" 영역 목업 제작
PROJECTT-9179	2023-01-10	2025-06-18	Sub-Task	DONE	과거담당	jieun.kwon	sungmin.jung	레벨디자인,북부_1.1_라스트허스,최북단_1.1.인트로튜토리얼	Design	PROJECTT-9154	[1.1.][최북단][레벨] 실내 제작 - 레난스 레스트 영접실
PROJECTT-9180	2023-01-10	2023-10-20	Task	To Do	보고자	dowan	seokwan	콘텐츠작업환경개선	Client		[툴] 에디터에서 위치 기록 기능 개선
PROJECTT-9209	2023-01-11	2025-06-18	Sub-Task	DONE	현담당	seokwan	seokwan	레벨디자인,북부_1.1_라스트허스,연기나는오두막,최북단_1.1.인트로튜토리얼	Design	PROJECTT-9154	[1.1.][최북단][레벨] 필드 컨텐츠 - 연기나는 오두막 목업 제작
PROJECTT-9210	2023-01-11	2025-06-18	Sub-Task	DONE	현담당	seokwan	seokwan	레벨디자인,북부_1.1_라스트허스,최북단_1.1.인트로튜토리얼,흉포한동물	Design	PROJECTT-9154	[1.1.][최북단][레벨] 필드 컨텐츠 - 흉포한 동물
PROJECTT-9208	2023-01-11	2026-02-20	Sub-Task	DONE	과거담당	jieun.kwon	sungmin.jung	레벨디자인,북부_1.1_라스트허스,최북단_1.1.인트로튜토리얼,프롤로그	Design	PROJECTT-9154	[1.1.][최북단][레벨] 실내 제작 - 라스트허스 영접실
PROJECTT-9298	2023-01-13	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,북부_1.1_라스트허스,최북단_1.1.인트로튜토리얼	Design	PROJECTT-9154	[1.1.][최북단][레벨] 레벨디자인 지역 구조 제안
PROJECTT-9384	2023-01-17	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,버려진유적지,북부_1.1_라스트허스,최북단_1.1.인트로튜토리얼	Design	PROJECTT-9154	[1.1.][최북단][레벨] 필드 구성 "퀸즈 크라운" 영역 목업 제작
PROJECTT-9387	2023-01-17	2025-06-18	Sub-Task	DONE	과거담당	jieun.kwon	sungmin.jung	레벨디자인,최북단_1.1.인트로튜토리얼	Design	PROJECTT-9072	[1.1.~1.4.][북부][레벨] 북부 지역 평면도 갱신 #2
PROJECTT-9502	2023-01-27	2026-02-20	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,최북단_1.1.인트로튜토리얼,프롤로그	Design	PROJECTT-9072	[1.1.][최북단][레벨] 레벨 기획서 제작
PROJECTT-9520	2023-01-31	2023-08-17	Sub-Task	DONE	보고자	joonhyung	seokwan	아트기반시스템	TA	PROJECTT-8685	[TA] 나무 프랍을 Fracture 하였을 때 나뭇잎 메시의 머티리얼이 정상적으로 나오게 처리
PROJECTT-9609	2023-02-06	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.1_올드타운	Design	PROJECTT-9082	[2.2.][올드타운][레벨] 평면도 1차 갱신 (퀘스트 및 주요 필드 컨텐츠)
PROJECTT-9659	2023-02-08	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.1_올드타운	Design	PROJECTT-9082	[2.2.][올드타운][레벨] 평면도 2차 갱신 (일반 필드 컨텐츠 구역)
PROJECTT-9664	2023-02-08	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.1_올드타운	Design	PROJECTT-9082	[2.2.][올드타운][레벨] 레벨 기획서 제작
PROJECTT-9665	2023-02-08	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.1_올드타운	Design	PROJECTT-9082	[2.2.][올드타운][레벨] 평면도 최종
PROJECTT-9682	2023-02-09	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치,리치_2.1_올드타운	Design	PROJECTT-9082	[2.2.][올드타운][레벨] 리치 지역 환경 설정 기획서 작성
PROJECTT-9693	2023-02-10	2023-08-17	Sub-Task	DONE	현담당	seokwan	seokwan	NPC_그리핀,기억의제단	Design	PROJECTT-8685	[기획] 파괴형 프랍 가젯 등록 및 배치 작업
PROJECTT-9795	2023-02-14	2023-08-17	Sub-Task	DONE	현담당	seokwan	seokwan	NPC_그리핀,기억의제단,연출	Design	PROJECTT-8685	[기획] 등장 연출 작업
PROJECTT-9807	2023-02-14	2023-08-17	Sub-Task	DONE	현담당	seokwan	seokwan	NPC_그리핀,기억의제단	Design	PROJECTT-8685	[기획] 그리핀 던전 연출 제작 대응
PROJECTT-9789	2023-02-14	2023-08-17	Sub-Task	DONE	보고자	hoon2to	seokwan	NPC_그리핀,기억의제단,연출	Client	PROJECTT-8685	[클라] 그리핀 등장 연출 중 잠시 안 보이는 현상 해결
PROJECTT-9895	2023-02-17	2023-08-17	Sub-Task	DONE	보고자	nangman05	seokwan	NPC_그리핀,기억의제단	Client	PROJECTT-8685	[클라] 연출용 잔도가 카메라 각도에 따라 안 나오는 문제 해결
PROJECTT-9981	2023-02-21	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.1_올드타운	Design	PROJECTT-9132	[2.2.][올드타운][레벨] B구역 필드 목업 #S2
PROJECTT-9982	2023-02-21	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.1_올드타운	Design	PROJECTT-9132	[2.2.][올드타운][레벨] B구역 필드 목업 #S3
PROJECTT-9983	2023-02-21	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.1_올드타운	Design	PROJECTT-9132	[2.2.][올드타운][레벨] B구역 필드 목업 #S4
PROJECTT-9984	2023-02-21	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.1_올드타운	Design	PROJECTT-9132	[2.2.][올드타운][레벨] B구역 필드 목업 #S5
PROJECTT-9986	2023-02-21	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.1_올드타운,버려진유적지	Design	PROJECTT-12568	[2.1.][올드타운][레벨] B구역 필드 컨텐츠-버려진 유적지 1호(리치)
PROJECTT-9987	2023-02-21	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.1_올드타운,버려진유적지	Design	PROJECTT-12568	[2.1.][올드타운][레벨] B구역 필드 컨텐츠-버려진 유적지 2호(리치)
PROJECTT-9988	2023-02-21	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.1_올드타운,버려진유적지	Design	PROJECTT-12568	[2.1.][올드타운][레벨] B구역 필드 컨텐츠-버려진 유적지 3호(리치)
PROJECTT-9991	2023-02-21	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.1_올드타운,세력은신처	Design	PROJECTT-9132	[2.2.][올드타운][레벨] B구역 필드 컨텐츠-세력 은신처
PROJECTT-9997	2023-02-21	2025-06-18	Task	DONE	과거담당	jieun.kwon	sungmin.jung	레벨디자인,리치_2.2_브라이트워터킵	Design		[2.2.][브라이트워터킵][레벨] 평면도/레벨 기획서 제작
PROJECTT-10036	2023-02-22	2025-06-18	Task	DONE	과거담당	jieun.kwon	sungmin.jung	레벨디자인,리치_2.2_브라이트워터킵	Design		[2.2.][브라이트워터킵][레벨] 레벨 목업 제작
PROJECTT-10049	2023-02-22	2026-02-20	Task	DONE	과거담당	seunguk	sungmin.jung	레벨디자인,프롤로그	Design		[1.0.][인트로][레벨] 장벽너머 튜토리얼 레벨디자인
PROJECTT-10054	2023-02-22	2025-06-18	Sub-Task	DONE	과거담당	seunguk	sungmin.jung	레벨디자인,리치_2.1_올드타운	Design	PROJECTT-9132	[2.2.][올드타운][레벨] 성/마을 및 필드 실내 구성
PROJECTT-10073	2023-02-23	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.1_올드타운	Design	PROJECTT-9132	[2.2.][올드타운] A구역 올드타운 시타델 내부 목업
PROJECTT-10138	2023-02-23	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.1_올드타운	Design	PROJECTT-9082	[2.2.][올드타운][레벨] 레벨 기획서 1차 제작
PROJECTT-10143	2023-02-23	2025-06-18	Sub-Task	DONE	보고자	jinjunhyuk	seokwan	NPC_그리핀,기억의제단	Client	PROJECTT-8685	[클라] 파괴형 프랍에 FX추가
PROJECTT-10146	2023-02-24	2025-06-18	Task	DONE	보고자	jinjunhyuk	seokwan	NPC_그리핀,기억의제단,사운드시스템,프랍	Client		[클라] 파괴형 프랍에 사운드 추가
PROJECTT-10243	2023-03-06	2025-06-18	Sub-Task	DONE	보고자	minhee	seokwan	NPC_그리핀,기억의제단	Design	PROJECTT-8685	[기획] 그리핀 던전 컨셉 설명용 쪽지 가젯 제작
PROJECTT-10244	2023-03-06	2025-06-18	Sub-Task	DONE	보고자	kyeonghun	seokwan	NPC_그리핀,기억의제단	Design	PROJECTT-8685	[기획] 그리핀 던전 컨셉 설명용 쪽지 내용 작성
PROJECTT-10353	2023-03-13	2023-08-17	Sub-Task	DONE	보고자	jongjin	seokwan	NPC_그리핀,기억의제단,레벨디자인,콘텐츠기반	Client	PROJECTT-8685	[클라] 스위치 가젯 개선 작업
PROJECTT-10354	2023-03-13	2023-08-17	Sub-Task	DONE	보고자	jongjin	seokwan	가젯,콘텐츠기반	Client	PROJECTT-8685	[클라] 스위치 가젯에서 카메라 독립화
PROJECTT-10512	2023-03-21	2023-08-17	Sub-Task	DONE	보고자	jongjin	seokwan	NPC_그리핀,가젯,기억의제단	Client	PROJECTT-8685	[클라] 스위치 가젯 반복 사용 가능하게 개선
PROJECTT-10545	2023-03-23	2023-08-17	Sub-Task	DONE	보고자	joonhyung	seokwan	NPC_그리핀,기억의제단	TA	PROJECTT-8685	[TA] 텐트 지오메트리 컬렉션이 이상하게 나오는 문제 개선
PROJECTT-10546	2023-03-23	2023-08-17	Sub-Task	DONE	보고자	joonhyung	seokwan	NPC_그리핀,기억의제단	TA	PROJECTT-8685	[TA] 잔도가 몽타주 이후 일부만 사라지게 하는 구현
PROJECTT-10578	2023-03-24	2023-08-17	Sub-Task	DONE	보고자	seyhun1987	seokwan	기억의제단,사운드	Sound	PROJECTT-8685	[사운드] 기억의 제단 - 그리핀 (레벨)
PROJECTT-10640	2023-03-28	2023-08-17	Sub-Task	DONE	보고자	jinjunhyuk	seokwan	기억의제단	Client	PROJECTT-8685	[클라] 파괴형 프랍이 파괴되지 않고 사라져버리는 현상 수정
PROJECTT-10681	2023-03-30	2023-08-17	Sub-Task	DONE	보고자	dujin.jeong	seokwan	NPC_그리핀,기억의제단	Server	PROJECTT-8685	[서버] 파괴형 프랍이 몬스터와 닿지 않았을 때 파괴되는 현상 최소화
PROJECTT-10689	2023-03-30	2023-08-17	Sub-Task	DONE	보고자	hoon2to	seokwan	NPC_그리핀,기억의제단	Client	PROJECTT-8685	[클라] 그리핀이 등장 연출과정에서 렌더링이 안되는 문제
PROJECTT-10720	2023-03-31	2023-08-17	Task	DONE	과거담당	jinjunhyuk	jisung	사운드,프랍	Client		[사운드] 파괴가능 프랍관련 사운드 기능 개선
HELPDESK-38014	2023-04-04	2023-04-04	온도조절 요청	Close	보고자	yang653	seokwan				[35층] Art-4,5 시원하게 해주세요.
PROJECTT-10811	2023-04-04	2023-08-17	Sub-Task	DONE	보고자	jinjunhyuk	seokwan	프랍	Client	PROJECTT-8685	[클라] 파괴형 프랍 파괴 사운드 안 나는 현상 수정
PROJECTT-10981	2023-04-12	2023-08-17	Bug	DONE	보고자	jongjin	seokwan	가젯	Client		[클라] 스위치 가젯 조작 시 캐릭터가 왔다갔다 하는 움직임
PROJECTT-11351	2023-04-24	2025-06-18	Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.3_하이가든	Design		[2.3.][하이가든][레벨] 평면도/레벨 기획서 제작
PROJECTT-11355	2023-04-24	2025-06-18	Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.3_하이가든	Design		[2.3.][하이가든][레벨] 레벨 목업 제작
PROJECTT-11365	2023-04-24	2025-06-18	Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,스톰랜드_3.3_크로우즈네스트	Design		[3.3.][크로우즈네스트][레벨] 평면도/레벨 기획서 제작 (리뉴얼)
PROJECTT-11386	2023-04-24	2025-06-18	Story	DONE	현담당	seokwan	sungmin.jung	레벨디자인	Design		[월드][레벨] 레벨 관련 이동 기믹 추가 구현 기획
PROJECTT-11366	2023-04-24	2025-06-18	Task	DONE	과거담당	sungmin.jung	sungmin.jung	레벨디자인,스톰랜드_3.3_크로우즈네스트	Design		[3.3.][크로우즈네스트][레벨] 레벨 목업 제작 (리뉴얼)
PROJECTT-11417	2023-04-25	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.3_하이가든	Design	PROJECTT-11351	[2.3.][하이가든][레벨] 평면도 1차 제작
PROJECTT-11418	2023-04-25	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.3_하이가든	Design	PROJECTT-11351	[2.3.][하이가든][레벨] 평면도 최종
PROJECTT-11419	2023-04-25	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.3_하이가든	Design	PROJECTT-11351	[2.3.][하이가든][레벨] 레벨 기획서 1차 제작
PROJECTT-11420	2023-04-25	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.3_하이가든	Design	PROJECTT-11351	[2.3.][하이가든][레벨] 레벨 기획서 최종
PROJECTT-11421	2023-04-25	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.3_하이가든	Design	PROJECTT-11355	[2.3.][하이가든][레벨] 필드 목업 1차
PROJECTT-11422	2023-04-25	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.3_하이가든	Design	PROJECTT-11355	[2.3.][하이가든][레벨] 필드 목업 2차
PROJECTT-11424	2023-04-25	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.3_하이가든	Design	PROJECTT-11355	[2.3.][하이가든][레벨] 성/마을 목업 1차
PROJECTT-11425	2023-04-25	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.3_하이가든	Design	PROJECTT-11355	[2.3.][하이가든][레벨] 성/마을 목업 2차
PROJECTT-11446	2023-04-25	2025-06-18	Sub-Task	DONE	과거담당	seunguk	sungmin.jung	레벨디자인,리치_2.3_하이가든,세력은신처	Design	PROJECTT-12628	[2.3.][하이가든][레벨] 필드 컨텐츠-세력 은신처
PROJECTT-11447	2023-04-25	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,스톰랜드_3.3_크로우즈네스트	Design	PROJECTT-11365	[3.3.][크로우즈네스트][레벨] 평면도 1차 제작
PROJECTT-11448	2023-04-25	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,스톰랜드_3.3_크로우즈네스트	Design	PROJECTT-11365	[3.3.][크로우즈네스트][레벨] 평면도 최종
PROJECTT-11449	2023-04-25	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,스톰랜드_3.3_크로우즈네스트	Design	PROJECTT-11365	[3.3.][크로우즈네스트][레벨] 레벨 기획서 1차 제작
PROJECTT-11450	2023-04-25	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,스톰랜드_3.3_크로우즈네스트	Design	PROJECTT-11365	[3.3.][크로우즈네스트][레벨] 레벨 기획서 최종
PROJECTT-11451	2023-04-25	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,스톰랜드_3.3_크로우즈네스트	Design	PROJECTT-11366	[3.3.][크로우즈네스트][레벨] 필드 목업 1차 (리뉴얼)
PROJECTT-11452	2023-04-25	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,스톰랜드_3.3_크로우즈네스트	Design	PROJECTT-11366	[3.3.][크로우즈네스트][레벨] 필드 목업 2차 (리뉴얼)
PROJECTT-11454	2023-04-25	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,스톰랜드_3.3_크로우즈네스트	Design	PROJECTT-11366	[3.3.][크로우즈네스트][레벨] 성/마을 목업 1차
PROJECTT-11455	2023-04-25	2025-06-18	Sub-Task	DONE	과거담당	seunguk	sungmin.jung	레벨디자인,스톰랜드_3.3_크로우즈네스트	Design	PROJECTT-11366	[3.3.][크로우즈네스트][레벨] 성/마을 목업 2차
PROJECTT-11456	2023-04-25	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,세력은신처,스톰랜드_3.3_크로우즈네스트	Design	PROJECTT-11366	[3.3.][크로우즈네스트][레벨] 필드 컨텐츠-세력 은신처
PROJECTT-11462	2023-04-25	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,스톰랜드_3.3_크로우즈네스트,위기의성소	Design	PROJECTT-11366	[3.3.][크로우즈네스트][레벨] 필드 컨텐츠-위기의 성소
PROJECTT-11463	2023-04-25	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.3_하이가든,위기의성소	Design	PROJECTT-12628	[2.3.][하이가든][레벨] 필드 컨텐츠-위기의 성소
PROJECTT-11747	2023-05-16	2025-06-18	Story	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.1_올드타운,버려진유적지	Design		[월드][레벨] 버려진 유적지 제작_올드타운
PROJECTT-11848	2023-05-22	2023-08-17	Task	DONE	보고자	jinjunhyuk	seokwan		Client		[클라] 파괴형 프랍과 앵커 필드의 연결
PROJECTT-11864	2023-05-23	2025-06-18	Task	DONE	보고자	donghwa	seokwan	탈것	Client		[클라] 로컬모드에서도 말을 탈 수 있는 기능 요청
PROJECTT-11898	2023-05-24	2023-08-17	Task	DONE	현담당	seokwan	seokwan	NPC_그리핀,기억의제단	Design		[기획] 그리핀 던전 잔도 가젯에 불 FX 부착 작업
PROJECTT-11971	2023-05-30	2023-08-17	Sub-Task	DONE	보고자	taewoong	seokwan		Effect	PROJECTT-9574	[이펙트] 최북단 환경셋 2종 추가
PROJECTT-12160	2023-06-15	2023-08-17	Task	DONE	현담당	seokwan	seokwan		Design		[기획] 최북단 레벨 라인 근처에 환경 볼륨 추가 및 적용
HELPDESK-42987	2023-06-19	2023-06-19	온도조절 요청	Close	보고자	yang653	seokwan				[35층] Art-4,5 시원하게 해주세요.
PROJECTT-12568	2023-07-04	2025-06-18	Task	DONE	현담당	seokwan	sungmin.jung	리치_2.1_올드타운,버려진유적지,위기의성소,위어우드의기억	Design		[2.1.][올드타운][레벨] 레벨 기반 필드 컨텐츠 제작
PROJECTT-12590	2023-07-04	2025-06-18	Sub-Task	DONE	현담당	seokwan	sungmin.jung	레벨디자인,리치_2.1_올드타운,위기의성소	Design	PROJECTT-12568	[2.1.][올드타운] 필드 컨텐츠_위기의 성소 제작
